label,cnt
Ergonomika,1
Erqonomik,1
Erqonomik tənzimləmə imkanları,1
Erqonomika,25
Established batteries,7
Ethernet,84
Ethernet portu,1
Ethernet sürəti,3
Ethernet tipi,6
Etiket,2
Extended display identification data (EDID),1
Eyni anda TCP sessiyalar,22
Eyni anda cihaz,35
FOV,1
Faks,11
Fan,2
Fan sayı,3
Fans (Optional),2
Fast Charging,1
Fayl sistemi,16
Faza / gərginlik,8
Fiber,3
Fiber port,6
Fiber tipi,5
Fibre Channel,1
Firewall (1518/512/64 byte UDP),22
Firewall (SPI),1
Fiş,41
Fiş tipi,4
Flash/RAM,6
For accessories,9
For documents,7
For laptop,17
For mobile phone,2
For tablet computer,2
Form faktor,184
Forma,145
Forma faktor,4
Forma faktoru,19
Format,110
Forwarding,12
Foto,5
Frequency,2
Frequency characteristic,1
"Frequency, Hz",2
"Full ""arm"" length",7
Funksiya,22
Funksiyalar,50
Fırlanma,14
Fırlanma bucağı,2
Fırlanma sürəti,13
Fəaliyyət radiusu,1
GPS və ADAS,1
GPU,12
Gecikmə,2
Gecə görmə,2
Gecə görüntüsü,3
Gecə çəkilişi,1
Genişlənmə,11
Giriş,27
Giriş PF,5
Giriş bağlantısı,6
Giriş cərəyanı,16
Giriş diapazonu,16
Giriş gərginlik diapazonu,2
Giriş gərginliyi,29
Giriş interfeysi,9
Giriş qabı,44
Giriş tezliyi,18
Giriş/çıxış,19
Giriş/çıxış bağlantısı,2
Giriş/çıxış gərginliyi,3
Glow temperature (LED),2
Graphics card Power Connector,2
Graphics processor,2
Görüntü,2
Görüntü imkanı,55
Güc,66
Gücləndirici,4
Günəş paneli girişi,5
Gərginlik,71
HD tipi,1
HDCP,5
HDCP versiya,3
HDD interfeysi,19
HDD tutumu,16
HDMI,27
HDMI Ethernet,5
HDMI port sayı,3
HDMI versiya,9
HDMI çıxış sayı,1
HDR,17
Handles for carrying,14
Harmonik təhrif,4
Hava axını,2
Headphone Type,1
Headphones Type,1
Headset,2
Heatsink,6
Height adjustment,1
Height adjustment range,1
Height of CPU cooler (max.),2
Hi-Res,2
High Dynamic Range 10 (HDR10),2
Holes for expansion slots,2
Horizontal viewing angle,8
Host,5
Host interfeys,34
Host port,1
Hot-plug,37
Hot-swap,4
Hot-swappable,1
Hot-swappable batareya,1
Hotkeys,4
Hub interfeysləri,3
Hyper-Threading,2
Hüceyrə səmərəliliyi,3
Hüceyrə tipi,3
Hündürlük,45
Hündürlük tənzimləmə,2
Həcm,22
Həll (qara),46
Həll (rəng),26
Həll / tezlik,7
Hərəkət aşkarlama,1
Hərəkət diapazonu,1
Həssaslıq,18
Həssaslıq (DPI),2
IK,3
IP,36
IPS,22
IPS/G,4
IPsec VPN (512 byte),22
IR,1
ISE,10
Image Format,2
Indikator,2
Input current (max),1
Input frequency,7
Input voltage range,2
Inputs,11
Installation options,1
Installed fans,2
Intentional impedance,1
Inteqrasiya olunmuş qrafika,2
Interface,3
"Internal compartments 2.5""",2
"Internal compartments 3.5""",2
IoT,7
Jumbo frame,11
Kabel,102
Kabel diametri,4
Kabel forması,5
Kabel girişi,5
Kabel materialı,2
Kabel standartı,6
Kabel texnologiyası,5
Kabel tipi,6
Kabel uzunluğu,4
Kabellər,5
Kamera,21
Kamera / audio,1
Kanal,2
Kapasitet,5
Kart dəstəyi,4
Kart oxuyucu,5
Kartric,29
Kartric sayı,44
Kağız,13
Kağız çəkisi,46
Key Features,9
Keyboard layout,10
Keycap,5
Keys material,1
Keçid tutumu,80
Keçid vaxtı,6
Keçirici,2
Keş,28
Kimya,4
Klaviatura,88
Klaviatura tipi,8
Klaviatura xüsusiyyətləri,2
Klaviş,4
Klient,1
Kodek,3
Kommunikasiya,15
Kommutasiya tutumu,6
Kommutasiya tutumu (Switching Capacity),1
Komplekt,68
Komplektasiya,1
Komponent,33
Konektor,4
Konfiqurasiya,26
Konfrans,2
Konnektor,46
Konnektor 1,37
Konnektor 1 forma,22
Konnektor 1 tipi,33
Konnektor 2,37
Konnektor 2 forma,22
Konnektor 2 tipi,33
Konnektor tipi,2
Konnektorlar,7
Konsol,9
Konstruksiya,8
Kontakt örtüyü,17
Kontrast,47
Kontroler,5
Kontroller,14
Korpus,111
Korpus materialı,42
Kənarsız çap,2
L2+ funksiyalar,1
L3,2
LAN,24
LAN/WAN,1
LCD,4
LED,17
LED indikator,12
LED işıq,12
Laminasiya,3
Laptop Form Factor,17
Layer,8
Layout,78
Lazer,1
Length of cord,3
Lent,1
Lent qoruma,2
Linux,4
Linza,1
Location PS,2
Lokalizasiya,1
Long-term load,3
Luminous flow,2
"Luminous flux, lm",1
M.2,16
MAC cədvəli,40
MIB,1
MIMO,3
MTBF,66
MU-MIMO,8
MagSafe,2
Mains voltage,2
Maks. adapter,2
Maks. cərəyan,3
Maks. data sürəti,12
Maks. disk,1
Maks. ekran,3
Maks. güc,32
Maks. güc cərəyanı (Imp),2
Maks. güc gərginliyi (Vmp),2
Maks. məsafə,3
Maks. noutbuk,2
Maks. prosessor,2
Maks. skan ölçüsü,2
Maks. sürət,7
Maks. tutum,2
Maks. video çözünürlüyü,1
Maks. yeniləmə,8
Maks. yük,2
Maks. çözünürlük,4
Maks. çıxış cərəyanı,5
Maks. çıxış gərginliyi,10
Maks. ötürmə,12
Maks. ümumi uzunluq,1
Maksimal Güc,1
Maksimal istifadəçi sayı,1
Maksimal məsafə,4
Maksimum güc (Pm),3
Management port,1
Maqnit,3
Material,109
Material (headband / bowl / ear cups),1
Material və Çəki,1
Matris tipi,4
Matter,45
Max PHY,3
Max. Output Power,7
Max. enerji,2
Maximum connected load,4
Maximum diagonal,12
Maximum efficiency,2
Maximum length of VGA,2
Maximum load,12
Maximum load current,10
Maximum output power,5
Maximum peak voltage,2
Maximum perceived frequency,6
Maximum power of PSU,2
Maximum resistance,1
Maximum resolution HDMI / DVI,1
Maximum sampling rate,1
Maximum sound pressure level,3
Media,7
Microphone Type,1
Mikrofon,142
Mikrofon girişi,4
Mikrofon həssaslığı,1
Mikrofon sayı,1
Mikrofon tipi,4
Mikrofon əhatəsi,1
Min. ekran,3
Min. çıxış gərginliyi,10
Minimum diagonal,12
Miqdar,3
Mobil,13
Mobil çap,38
Mobile operating systems supported,2
Model,1003
Modem / anten,1
Modul hündürlüyü,1
Modul portu,3
Montaj,50
Motherboard Power Connector,2
Motherboard type,2
Motor protection against overload,1
Mount dimensions,3
Mounting type,7
Multimedia,1
Multiple protection such as,1
Music time,1
Mute,9
Mühafizə,3
Mühafizə dərəcəsi,2
Mürəkkəb,1
Məhsul tipi,9
Məlumat ötürmə,13
Mənşə,1
Məqsəd,2
Məsafə,35
NAND,55
NAND tipi,6
NAT routing,4
NAT sessions,2
NFC,3
NGFW,22
NPU,14
NVMe,8
Noise level,9
Nominal batareya gərginliyi,1
Nominal tutum,3
Non-blocking,3
Non-blocking throughput,2
Note,1
Notebook compartment (ShhVhT),15
Noutbuk,5
Number of Colors,2
Number of HDMI,2
Number of USB,2
Number of channels,2
Number of conductors,4
Number of devices supported,1
Number of monitors,5
Number of outlets,10
Number of scroll wheels,11
Number of sheets to be destroyed at a time,2
Number of speakers,9
Number of storage drives supported,1
Numpad,1
Növ,106
Nümunə,5
Nüvə / axın,4
Nəsil,4
OEM kod,10
OPS yuvası,11
OS,138
OS Compatibility,10
On-Die ECC,16
On-die ECC,6
On/Off,1
Operating principle,1
Operating temperature,7
Operativ yaddaş,102
Optik Portlar,3
Optik həll,2
Optik sürücü,6
Optimizasiya,18
Optimizasiya / sertifikat,2
Organizer,7
Orientasiya,3
Orijinal ekvivalent,1
Other operating systems supported,3
Outlets with a reserve,5
Output Capacity,1
Output frequency,7
Output voltage,7
Outputs,2
Overclock,4
Overload,2
Overload qorunması və siqnal,1
Oxuma,4
Oxuma / yazma,56
Oxuma sürəti,9
Oxuma/yazma,1
Oxutma (keys ilə),1
Oxutma müddəti,1
PCIe,40
PD,4
PDL,1
PHY,1
PLP,7
PMIC,6
PPI,1
PPS,1
PS5,2
PSU,37
PXE,1
Package contents (varies by region),1
Paket,2
Paket tərkibi,2
Paket yönləndirmə sürəti,1
Paket ötürmə sürəti,2
Paket ötürmə sürəti (Forwarding Rate),1
Paketdə say,8
Panel,61
Paneli,2
Paralel,4
Parallel,2
Parkinq rejimi,1
Parlaqlıq,59
Parlaqlıq / kontrast,7
Part Number,107
Part number,1394
Part nömrəsi,15
Pass-through şarj,1
Pattern,3
Peak current,2
Peculiarities,1
Peripheral/FDD/SATA Connectors,2
Permanent memory,2
Plastik,2
Platform,2
Platforma,10
Platforma CPU,7
Platforma RAM,7
PoE,111
PoE / qidalanma,20
PoE Büdcəsi,2
PoE Güc Büdcəsi,3
PoE Standartı,2
PoE büdcə,4
PoE dəstəyi,19
PoE portları,2
PoE+,5
PoE-Out,1
Polar naxış,5
Polling,47
Port,16
Port 1 output current,1
Port 1 qücü,3
Port 2 output current,1
Port 2 qücü,3
Port 3 qücü,2
Port sayı,12
Portlar,364
Portlar və interfeyslər,1
Power Lifting Mode,5
Power Supply,24
Power Supply (wireless),3
Power Supply Unit,6
Power bank & device charging at once,2
Power complete PSU,2
Power consumption,8
Power consumption (no load),2
Power supply,2
Power supply frequency,2
"Power, W",1
Presenter tracking,1
Privacy cover,1
Profil,13
Proqram,5
Prosessor,272
Prosessor (bu konfiq),6
Protection,7
Protective functions,7
Protokol,7
Protokollar,32
Protokoller,1
Pulsasiya əmsalı,2
Pult,5
Purpose,13
QNAP SKU,3
Qablaşdırma,25
Qablaşdırmada,5
Qabıq materialı,13
Qalınlıq,6
Qapı,2
Qatlama sayı,2
Qatlanan,2
Qeyd,51
Qida,54
Qida bloku (bu konfiq),5
Qida kabeli,3
Qida tipi,3
Qidalanma,142
Qidalanma gərginliyi,1
QoS,1
Qohum SKU,3
Qoltuq,3
Qoruma,46
Qorunma,3
Qorunma dərəcəsi,1
Qoşulma,12
Qoşulma rejimləri,1
Qrafika,179
Quick Charge,2
Qulaq oturacağı,3
Qulaqlıq girişi,1
Qulaqlıq növü,1
Qulaqlıq tipi,2
Qulaqlıq yastığı,1
Qulaqlıq çıxışı,2
Quraşdırma,34
Quraşdırma tipi,4
Qutuda,9
Qısaqapanma cərəyanı (Isc),3
RAID,7
RAID dəstəyi,7
RAID nəzarətçi,5
RAID səviyyələri,6
RAM,140
RAM (bu konfiq),11
RBC,1
RF diapazon,1
RGB,88
RJ-45 port,5
RJ45 Portlar,3
RJ45 port sayı,5
Rack dərinliyi,1
Radio,16
Radio / sürət,20
Radio frequency range,5
Radio radius,24
Rail kit,1
Random 4K,22
Random IOPS,3
Random oxuma (4KB),7
Random yazma (4KB),7
Range of action,8
Rank,41
Rank / təşkilat,5
Rated power of PSU,2
Rated voltage,7
Reach,3
Reaction time,6
Receiver,1
Recommended desktop thickness (clamp fastening),6
Recommended desktop thickness (grommet mounting),6
Recommended resolution,6
Region,10
Region SKU,3
Rejim,2
Relative humidity,7
Reliable and Security,4
Reng,7
Resistance,6
Resurs,6
Retail P/N,4
Reverse,2
Room Correction,15
Rozetka,8
Rozetka sayı,3
Rozetka standartı,2
Rozetkalar,2
Runtime,13
Runtime (daxili),2
Runtime (full load),1
Runtime (full/half),6
Rəf,1
Rəng,938
Rəng (korpus),8
Rəng / dizayn,6
Rəng / korpus,3
Rəng temperaturu,5
Rəng tutumu,4
Rəng örtüyü,2
Rəng əhatəsi,1
Rəqəmsal zoom,1
Rəsmi P/N,1
Rəsmi kod,2
S/N nisbəti,4
SATA 15+7 Pin Female Connection,1
SED / FIPS,1
SIP,2
SKU,1
SLC cache,7
SNR,4
SPD,16
SR-IOV,1
SSD tutumu,9
SSID,1
Saat,33
Sac qalınlığı,1
Saxlama,1
Saxlama nəzarətçi,1
Saxlama temperaturu,17
Saxlama zolaqları,2
Scope of the delivery,1
Screen diagonal,6
Screen resolution,2
Scroll,13
Scrolling,8
Section,2
Security level (DIN),2
Sektor,33
Sensor,47
Sensor / DPI,15
Sensor / linza,5
Sensor və Optika,2
Sensorlar,3
Seq. oxuma,1
Seq. oxuma/yazma,17
Serial,1
Seriya,467
Sertifikat,54
Shoulder Strap,13
Shredded paper size,2
Signal to noise ratio,7
Simsiz,32
Simsiz (qulaqlıq),2
Simsiz (telefon),2
Simsiz Sürət,1
Simsiz bağlantı,2
Simsiz məsafə,4
Simsiz standart,1
Simsiz sürət,1
Simsiz şarj,18
Simsiz şarj gücü,2
Simsiz şarj texnologiyası,2
Simsiz şəbəkə,30
Simsiz əlaqə,1
Sinxron,2
Siçan,1
Siçan DPI,3
Siçan geri nəzarəti,1
Siçan xüsusiyyətləri,2
Skan,2
Skan sürəti,2
Skaner,34
Skaner tipi,2
Smart platform,2
SmartTV,2
Socket,6
Soket,13
Sound power,2
Soyuducu dəstdə,2
Soyutma,29
Spare P/N,2
Speaker,5
Speaker diameter,1
Speakerphone,1
Special features,1
Speed class,3
Speed keys,2
Spikerfon,19
Spring mechanism type,1
Ssenari,2
Stabilizasiya,5
Stackable,3
Stand,3
Standart,71
Standartlar,4
Starter,13
Starting current,2
Statik kontrast,4
Stekinq,14
Stend,7
Stereocüt,37
Storage,1
Storage nəzarətçi,1
Streams,1
Style,2
Su keçirməzlik,6
Subwoofer Dimensions (HxWxD),1
Suitcase Fastener,7
Super Magnetism,1
Superior Safety,1
Support for parties,6
Supported video formats,2
Surface,11
Surface coloration,1
Surge,9
Surge Protection,1
Surge enerjisi,2
Suya davamlılıq,1
Sviçlər,2
Switch,55
Switch ömrü,8
Switching capacity,5
Süni İntellekt (AI) Funksiyaları,1
Sürücü,73
Sürüşməyə qarşı,1
Sürət,44
Sürət (512 GB),1
Sürət sinfi,13
Sürət və akselerasiya,1
Sürətli şarj,46
Sürətli şarj texnologiyası,27
Sürətlənmə,14
Səmərəlilik,14
Səs,50
Səs @25°C,3
Səs detektoru,3
Səs gücü,53
Səs idarəsi,1
Səs köməkçisi,69
Səs rejimləri,4
Səs standartı,1
Səs texnologiyası,1
Səs xətti,1
Səs-küy azaldılması,2
Səsli idarəetmə,1
Səth,36
TBW,25
TDP,4
THD,2
THDv,2
TPM,4
TV Type,2
Tablet bölməsi,1
Talk time,1
Tam ad,14
Taxılma,2
Technologies,2
Telefonla idarəetmə,1
Teletext,2
Temp,1
Temp.,6
Terminallar,3
Texnologiya,35
Texnologiyalar,6
Tezlik,130
Tezlik diapazonu,51
The angle of downward inclination,6
The common frequency band,6
The data rate,1
The keys,2
The minimum frequency of the perceived,6
The number of light sources,2
The rate of destruction,2
The sensitivity (negative value),7
Thickness,4
Threat Protection,22
Thunderbolt 4 PD,6
Tilt angle,5
Tip,1222
Tip (buffered),5
Tipik doldurma,3
Tipik doldurma müddəti,16
Topologiya,34
Torpaqlama,1
Total rated capacity,6
Towards,17
Toxunuş,11
Toxunuş geri,1
Toz-nəm qoruma,4
Transceiver standartı,2
Transmitter,1
Turbo,2
Turbo Boost,2
Tutum,269
Tutum sinfi,10
Tutuş,2
Type,40
Type of converter,6
Type of instalation,1
Type of light source,2
Type of matrix,6
Type of output power,7
Type of switch,2
Type-C,3
Type-C in,7
Type-C out,7
Types of connectors,1
Typical recharge time (up to 90%),2
Tövsiyə olunan həcm,46
Təhlükəsizlik,18
Təkər,1
Tələb olunan hub,20
Tənzimləmə,2
Tənzimlənən,1
Tənzimlənən uzunluq,1
Tərkib,1
Təsvir,5
Tətbiq,98
Təyinat,189
Təyyarə,1
Təzyiq,3
Təşkil,5
UBER,1
UHS,13
UPI,2
UPS keçid vaxtı,5
USB,106
USB 3.0 connectors,2
USB Hub,1
USB PD,17
USB PD (maks.),27
USB PD reviziya,11
USB Power Delivery,29
USB Type-C required charging power (max),1
USB Type-C required charging power (min),1
USB bağlantı,2
USB data,3
USB hub,3
USB port sayı,1
USB portlar,2
USB qəbuledici,1
USB versiya,12
USB çıxışı,1
USB-A,5
USB-A (OUT 1/OUT 2) output,1
USB-A 2.0 port sayı,8
USB-A 3.0 port sayı,9
USB-A Male Connection,1
USB-A çıxış,13
USB-C,6
USB-C 3.0 port sayı,2
USB-C PD,16
USB-C giriş,2
USB-C giriş/çıxış,1
USB-C hub,1
USB-C port sayı,29
USB-C çıxış,3
USB-C şarj portu,4
USB-C1 Output,1
USB-C1 çıxış,3
USB-C1/C2 çıxış,1
USB-C2 Output,1
USB-C2 çıxış,3
USB-C3 çıxış,1
UVC,1
Update frequency,6
Uplink,88
Upward tilt angle,6
Uyğun məhsullar,8
Uyğunluq,365
Uzaqdan firmware yeniləmə,1
Uzunluq,57
VESA,25
VESA Wall Mount,8
VGA,4
VGA çıxış,1
VLAN dəstəyi,2
VPK,1
VPK / MPK,1
VPN,2
VPN ötürmə,1
Veb-kamera,61
Vebkamera,2
Vertical Viewing Angle,8
Vertikal,1
Video,15
Video imkanı,2
Video keyfiyyəti,1
Video rejim,8
View,7
Volume,118
Vəziyyəti,89
WAN,1
WLAN,3
Wi-Fi,136
Wi-Fi 6 · Bluetooth,1
Wi-Fi 7,1
Wi-Fi Direct,7
Wi-Fi Standartı,1
Wi-Fi diapazon,1
Wi-Fi standartları,1
Wi-Fi · Bluetooth,1
Wide Compatibility,5
Width adjustment range,1
Windows,10
Wire Length,7
Wireless Connection,2
Wireless interfaces,8
Wireless range,1
Wireless throughput,1
Working surface,4
XLR,1
XMP/EXPO,4
Xarici batareya,4
Xüsusi rejimlər,1
Xüsusiyyət,79
Xüsusiyyətlər,39
Xətlər,4
Xətlər / SIP,30
Xətt / SIP hesabı,2
Xətt sayı,17
Xətt sürəti,1
Yaddaş,262
Yaddaş (bu konfiq),11
Yaddaş dəstəyi,2
Yaddaş form faktor,4
Yaddaş gərginliyi,4
Yaddaş kartı,5
Yaddaş layout,4
Yaddaş sürəti,4
Yaddaş tezliyi,4
Yaddaş tipi,4
Yaddaş yuvaları,1
Yan,1
Yan panellər,5
Yastıq,4
Yazma,22
Yazma sürəti,9
Yeniləmə tezliyi,2
Yenilənmə,2
Yenilənmə / tezlik,1
Yerləşmə,3
Yuvalar,37
Yük,6
Yükgötürmə,1
Yığılan kabel,1
Zigbee,71
Zəmanət,1404
Zəncirləmə,1
Zənglər və Mikrofonlar,1
Zərbə,6
macOS,8
Çap sürəti,13
Çap sürəti (draft),1
"Çap sürəti (qara, ISO)",46
"Çap sürəti (qara, draft)",12
"Çap sürəti (rəng, ISO)",27
"Çap sürəti (rəng, draft)",9
Çap texnologiyası,51
Çip,5
Çipset,9
Çözünürlük,23
Çıxış,26
Çıxış (12 V),8
Çıxış (5 V),8
Çıxış (9 V),8
Çıxış (batareyada),2
Çıxış bağlantısı,1
Çıxış cərəyanı,6
Çıxış gücü,1
Çıxış gərginlik tənzimləməsi,2
Çıxış gərginliyi,8
Çıxış interfeysi,2
Çıxış qabı,46
Çıxış rozetkaları,17
Çıxış sayı,4
Çəki,779
"Çəki (mono, kabelli)",1
Çəki (netto),5
Çəki (stereo),1
"Çəki (stereo, kabelli)",1
Çəki / ölçülər,78
Ölçü,232
Ölçü (D×E×H),12
Ölçü (E×D×H),63
Ölçü (H×D×W),17
Ölçü (H×W×L),22
Ölçü (U×E×H),1
Ölçü (Y×E×D),2
Ölçü / diaqonal,3
Ölçü / çəki,36
Ölçülər,317
Ölçülər (E×D×H),4
Ölçülər (H×E×D),10
Ölçülər (U×E×H),9
Ölçülər (W×D×H),2
"Ölçülər (W×D×H, B model)",2
Ölçülər (açıq),3
Ölçülər (stend ilə),7
Ölçülər (təxmini),1
Ölçülər (yığılmış),3
Ömür dövrləri,5
Ön,1
Ön qapı,3
Ön quraşdırılmış,3
Örtük,1
Ötürmə,58
Ötürmə metodu,2
Ötürmə məsafəsi,1
Ötürmə sürəti,4
Özboşalma,4
Ümumi güc,44
Ümumi çıxış,3
Üzlük,3
İPv6 dəstəyi,1
İdarə,1
İdarəetmə,149
İdarəetmə / Diaqnostika,2
İdarəetmə və funksiyalar,1
İdarəetmə və xüsusiyyətlər,1
İki kanallı çəkiliş,1
İki tərəfli səs,1
İlk səhifə,12
İlk səhifə (qara),46
İlk səhifə (rəng),26
İmpedans,11
İnteqrasiya,2
İnterfeys,250
İnterfeys tipi,2
İnterfeyslər,5
İnverter,5
İstehsal,26
İstehsal ölkəsi,10
İstehsalçı,1
İstifadə,1
İstifadə sahəsi,1
İzleme,13
İş gərginliyi,1
İş prinsipi,4
İş temp.,2
İş temperaturu,187
İş yükü,47
İşləmə müddəti,2
İşıq,1
İşıq axını,6
İşıqlandırma,27
İşəsalma məsafəsi,1
Şarj,14
Şarj cərəyanı,3
Şarj keysi,1
Şarj müddəti,1
Şarj mənbəyi,9
Şarj portu,1
Şarj temperaturu,5
Şarj tipi,4
Şarj və Batareya,1
Şifrələmə,6
Şəbəkə,104
Şəbəkə (bu konfiq),7
Şəbəkə (platforma),7
Şəbəkə Portu,1
Şəbəkə bağlantısı,1
Şəbəkə kartı,3
Şəbəkə portları,20
Şəbəkə standartları,2
Şəbəkə tipi,7
Əhatə dairəsi,2
Əlaqə,13
Əlavə,16
Əlavə modul,11
Əlavə xüsusiyyətlər,105
Əməliyyat sistemi,137
Əsas,1
Əvəzedici batareya,8
