label,value,cnt
Düymələr,3 funksional düymə və rezinləşdirilmiş təkər,1
Audio,İkitərəfli danışıq (mikrofon və fərdiləşdirilə bilən güclü səsli siren),1
Part number,C325V_DNI,1
Forma faktoru,240-pin UDIMM Non-ECC,7
AC giriş (Turbo),2.400 W Max.,1
Xüsusiyyətlər,"Yan rezin reliesli əlavələr ilə sürüşməyən rahat tutuş, Makroslar və düymə proqramlaşdırma dəstəyi",1
Part number,19U64AA,1
Volume,0.0464 m³,1
USB,4 × USB 3.2 Gen 2 Type-A,2
Part number,SFYRS/1000 q,1
Bağlantı,USB-A + 2.4 GHz + Bluetooth,2
Ölçü (E×D×H),440 × 260 × 44 mm,5
OS,"Windows 11/10, macOS 10.6+, Linux 2.6+, Chrome OS",5
Tip,4-bay USB hardware RAID DAS,1
Portlar,2x USB-C (USB 5Gbps; 1x USB-C (USB 5Gbps; 1x USB-C (DP 1.4 Alt Mode HBR3); 5x USB-A (USB 5Gbps; 1x USB-B (USB 5Gbps; 1x HDMI; 1x DP,1
Seriya,Kingston FURY Renegade G5,3
Çip,"1024×8 (1Gx8), halogen-free",1
Səth,"anti-glare, anti-fingerprint, 9H",10
Prosessor,ARM 1.8 GHz; 2 GB DDR4; 8 GB flash,1
RAM,32 GB LPDDR5X-7467 (lehimli),1
Kağız,250 + 1 əl slotu (251); çıxış 150,1
Tip,Powerbank (daxili USB-C kabel),1
Baza tezlik,2.40 GHz,1
Kabel,Cat6A,1
Düymə tipi,Pressed buttons,1
Model,GWN7700,1
VESA,400 × 200 (divar montajı daxildir),1
Ölçü,450 × 400 × 3 mm (L),2
Maks. çıxış gərginliyi,21 V,3
Model,28599-999-889,1
Layout,1 × 8 GB,1
Həll / tezlik,"QHD 2560×1440, 60 Hz",2
Sertifikat,"CE, FCC, BSMI, RCM",21
Scope of the delivery,monitor lamp / monitor mount / storage case / screwdriver for fastening / cable 1.2 m USB-C/ USB-C / user manual,1
Linza,"M12, F=2.2 mm, HFOV 110°",1
Tezlik,1333 MHz (PC3-10600U),3
Tip,"FortiExtender 200F — FortiGate LAN extension (L2 tunnel), modem yoxdur",1
Ölçü,L,1
Seriya,"Yandex Stansiya Mini Plus (Mini 2, saatsız)",3
İnterfeys,1 × USB 3.2 Gen 1 Type-C (5 Gbps),1
Komplekt,AA battery 500mAh / USB wireless receiver located under the top cover of the mouse / Type-C cable (80 cm),1
Model,8200-231,1
Part number,RZ04-05160100-R3M1,1
Uyğunluq,"DL325 Gen10, HPE ProLiant DL360 Gen10, HPE ProLiant DL560 Gen10",1
Yaddaş,128 MB,2
Protokollar,"PD 3.0, QC 3.0, PPS, FCP",1
Ekran,5.6 düym (320 × 234 piksel) 16-bit rəngli toxunma ekranı (Touchscreen LCD),1
Vebkamera,Daxili 4MP,1
Ölçü,471x195x35 mm,1
Tip,"Rack server (2U rack, 2 soket)",2
Kabel,Cat5e,1
Standart,"Wi-Fi 6 (IEEE 802.11ax/ac/n/a 5 GHz, IEEE 802.11n/b/g 2.4 GHz)",1
Tip,Monitor,4
Tip,Simsiz oyun siçanı,9
Kabel,1.8 m,29
AC rozetkalar,2 × AC,1
Part number,FG-81F,1
Radio / sürət,2.4 GHz 688 Mbps; 5 GHz 2.882 Gbps (160 MHz); 6 GHz 5.765 Gbps (320 MHz),1
Portlar,"2 × HDMI 2.0, 1 × DisplayPort 1.4",2
Tip,Indoor Wi-Fi 7 (802.11be) Tri-Radio Access Point · Demo SKU,1
Material,"Metal, Plastic, Rubber",1
Part number,ad512GBS20S3S,1
İdarəetmə,LCD,1
Stend,"Hündürlük 150 mm, tilt −5°/+21°, swivel ±45°, pivot ±90°",1
Dərinlik,156.58 mm,1
Part number,TS-233,1
Switch,"HyperX Red (linear, 45 q, 1.8 mm, 80 mln)",8
Klaviatura tipi,Scissor,1
Qulaqlıq yastığı,Leatherette,1
Ölçü,32.4 × 12.6 × 5.9 mm,1
Video,"2× DP 1.4, 1× HDMI 2.1, 1× USB-C DP Alt Mode",2
EAN,0767041021332,1
Portlar,"1 × HDMI 1.4 (HDCP 1.4), 1 × VGA",1
Düymə sayı,6,4
Model,GWN7813P,1
Sürət,oxuma/yazma 2000/2000 MB/s (maks.),5
Model,HP S3 Pro 324pf FHD,1
Part number,4Y50X88824,1
Kabel,2.0 m (controller daxil),1
Rəng,gray and black,1
Tip,Simli ofis və gündəlik istifadə üçün optik siçan,1
Model,YNDX-00554,1
Part number,2E2GEN800.50.100,1
Standart,Cat 6,6
Sürücü,40 mm neodim,1
Rəng,Phantom Green,4
Model,HP 130A Cyan Original LaserJet Toner Cartridge,1
Ölçü,79.1 × 44.4 × 8.5 mm,2
Firewall (1518/512/64 byte UDP),4 / 4 / 3.9 Gbps,2
Part number,ECS1528FP,1
Mikrofon,"Boom microphone, səs-küy azaldan, çıxarılan",3
Ölçülər,"23,65 x 417,27 x 146,82 mm",1
Uyğunluq,"PC, PS5, PS4, Xbox Series X|S, and Xbox One. Software Compatibility: HyperX NGENUITY",2
Ölçülər,168.5 × 160.2 × 219 mm,1
Model,Dell Pro E2425HM,1
Part number,161-BBRX,1
Məsafə,15 m-ədək,1
Konnektor 1,USB 2.0 Type-A,1
Ölçülər,480 × 315 × 210 mm,1
Düymə sayı,78 düymə + Multi-touch jestləri dəstəkləyən inteqrasiya olunmuş geniş taçpad (ayrıca siçana ehtiyac qalmır),1
PoE / qidalanma,802.3at; injector GPI-130 Və ya SP-FAP200-PA ayrı,1
Çəki,827.7 q,1
Part number,678U8AA,1
TBW,876 TB,1
Stabilizasiya,EIS 2.0 (elektron şəkil stabilizasiyası),1
Tutum,500 GB,6
Material,metal,1
IP,IPX5,1
Part number,1Y4D0UT,1
EAN,4549821410323,1
Host interfeys,"PCIe (low profile, customer install)",3
Seriya,Razer Huntsman V3 Pro TKL 8 kHz,1
Ötürmə,14.88 Mpps,1
Ölçülər,"482 mm en, 2U hündürlük, ~686 mm dərinlik (bezel olmadan)",2
Soyutma,fanless (0 dBA),3
Ölçülər (yığılmış),533 × 470 mm,1
Part number,A37W1ET,1
Seriya,Apacer AC631,1
Xətlər / SIP,4 line keys · 12 SIP accounts,1
Bağlantı,USB-C,4
Sensor / linza,"1/2"" CMOS, 48 MP effektiv piksel; linza ekv. 16 mm, f/2.5; 9 qat şüşə linza",1
Part number,40ALLG2WWW,1
Anten,"İnteqrasiya olunmuş omni, 3 dBi, TX 23 dBm",1
Ölçülər,59.7 × 14.0 × 11.9 mm,1
Ölçü,152.96 × 93 × 21 mm,1
Portlar,"1x USB-A (USB 10Gbps), Always On; 3x Thunderbolt 4, with USB PD 15-100 W and DisplayPort 2.1; 1x HDMI 2.1, up to 4K/60 Hz; 1x Headphone / microphone combo jack (3.5 mm); 1x SD card reader; NVMe password; Power-on password; Supervisor password; System management password; Certificate-based BIOS authentication",1
Model,HP EliteBook 660 G11 16,1
Brend,UGREEN (Nexode Pro seriyası),1
Qoruma,MIL-STD-810 q 516.6 hərbi düşmə testi; USB konnektor 10K tax-çıxar testi,4
Hot-swappable,Bəli,1
Rəng,grey,3
Şəbəkə,Gigabit Ethernet (2× RJ45),1
Ölçü,10.9 × 15 × 1.02 mm,7
EAN,0197192348000,1
Səs,≤ 50 dBA,1
Seriya,Xerox B225,1
Qoşulma,"2.4 GHz Wi-Fi, Alexa və Google Assistant dəstəyi",1
Equipment,USB-receiver / batteries 1xAA / manual / keyboard,1
NAND,TLC,3
TBW,1280 TB,1
Maks. yük,hər kanal üçün LED 600 Vt-ə qədər,1
Çəki,0.08 kq,1
Uyğunluq,"PC, PS5, PS4, Xbox, Nintendo Switch, mobil",2
Davamlı ötürmə,"263 MB/s / 251 MiB/s (davamlı, OD)",1
Wi-Fi,IEEE 802.11a/b/g/n/ac/ax/be · Tri-band (2.4 / 5 / 6 GHz),1
Model,MM137,2
Xüsusiyyət,alcohol-free / antistatic / in plastic tube,1
Operativ yaddaş,16GB,5
Güc,150 W,1
Enerji monitorinqi,Bəli,3
Uzunluq,50 m,1
Portlar,"Ön: USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1, 2 × USB 2.0 (1× PowerShare), universal audio. Arxa: 4 × USB 3.2 Gen 1, 2 × USB 2.0 Smart Power On, 2 × DisplayPort 1.4",1
Buffer,192 KB,1
Portlar,"1x USB-A (USB 5Gbps), Always On; 1x USB-A (USB 5Gbps); 2x Thunderbolt 4, with USB PD 45-100 W and DisplayPort 2.1; 1x HDMI 2.1, up to 4K/60 Hz; 1x Headphone / microphone combo jack (3.5 mm); 1x Ethernet (RJ-45); 1x SD card reader; Touch style fingerprint reader integrated in power button, match-on-chip; No fingerprint reader; Hard disk password",4
Model,LP113,1
RAID,"Hardware RAID 0/1, JBOD, Single",1
Ölçülər,112 × 51 × 28 mm,1
Part number,2E-HG365BK-WL,1
Çəki,255 q,1
Seriya,Razer DeathAdder V3 HyperSpeed,1
Part number,P26259-B21,1
Rəng,"Rəngli (CMYK, 4 şüşə)",1
Çəki,"5,03 kq",4
Number of outlets,"3 3 rozetka Tip F (torpaqlama ilə avrorozetka), ştepsel Tip F (avroştepsel torpaqlama ilə)",1
Operativ yaddaş,64GB (2x32GB) DDR5 4800,3
Model,GWN7665,1
Portlar,Standart RJ-9 qulaqlıq (headset) portu,1
Part number,RZ04-05410400-R3M1,1
Qida,"180 Vt daxili PSU, 80 PLUS Bronze",3
RGB,Xeyr,6
Model,CD275,1
Stereocüt,Bəli (iki Layt 2),11
Part number,FS-148F-POE,1
Bağlantı,3.5 mm mini-jack,9
Tip,microSDXC UHS-I (Premium),1
Layout,1 × 32 GB,2
Forma,Stereo (on-ear),2
Şəbəkə,2× RJ45 Gigabit (in/out),10
Part number,B72Y6ET,1
PoE / qidalanma,IEEE 802.3af PoE,1
Starter,2 500 səh (qutuda),2
Port,2 × RJ45 (2.5 q/1 q/100 m/10 m),1
Uyğunluq,Amplon RT 5–20 kVA seriyası (əsasən 8/10 kVA və yüksək),1
Keş,256 MB (rəsmi X20 datasheet; prays-listdə 512 MB səhvdir),1
Disk yuvası,8 × SFF U.3,1
Tip,simsiz ergonomik esports siçan,2
Oxuma / yazma,7000 / 3000 MB/s,1
İdarəetmə və xüsusiyyətlər,"Ruijie Cloud App, Reyee Mesh, Fast Roaming (802.11k/v/r), WPA3 təhlükəsizlik",1
Konnektor 2,USB Micro-B (Male),1
Region SKU,WW00/demo · Power adapter daxil deyil,1
Seriya,Kingston FURY Renegade RGB,5
Tip,"19"" yerüstü şəbəkə şkafı",2
MTBF,1.5 milyon saat,1
DWPD,10,1
Annual power consumption,37 kW,1
İdarəetmə,Nebula Cloud və ya lokal Web/CLI; Smart L2 funksiyalar,1
Part number,TS-264-8 q,1
Audio kodekləri,"Genişzolaqlı HD Audio (G.722), G.711a/u, G.726, G.729A",2
Bypass,Daxili (avtomatik və əl ilə),6
Mikrofon,"Swivel-to-mute, səs-küy azaldan boom",1
Ekran tipi,LED,3
Panel,"IPS/VA (21:9), əyri",1
Model,"Lenovo 16"" Laptop Everyday Backpack B510",1
Ölçü,27 × 180 × 99.9 mm,1
Uyğunluq,"PowerEdge C6520, PowerEdge C6525, PowerEdge R450, PowerEdge R550, PowerEdge R650, PowerEdge R650XS, PowerEdge R6525, PowerEdge R750, PowerEdge R750XA, PowerEdge R750XS, PowerEdge R7525, PowerEdge T550",1
Part number,938B1EA,1
Part number,2E-U03VES5MBK,1
Ölçü,415 × 360 × 352 mm; çəki 10.0 kq,2
Ölçülər,110x65x38 mm,1
Səmərəlilik,"~95,5% (online) · ECO: 99%",1
Seriya,Razer Nommo V2 X,1
Model,AV112,1
Ölçü,22 × 80 × 3.8 mm,1
Qidalanma,1×AA,2
Part number,TS-673A-8 q,1
Switch,TTC Red (linear),1
Form faktor,"Tower, 226.5 × 235 × 165 mm",1
Anten,Internal,1
Qida,"80-pin OPS, 12–19 V DC, maks. 65 W (standby 1,5 W)",1
Yuvalar,"16 × 3.5""/2.5"" SATA 6Gb/s, hot-swap",1
Batareya tutumu,5200 mAh,3
Çəki,56 q,1
Ekran,"27"" QHD (2560×1440) IPS/UWVA 400 nit 120 Hz",1
Portlar,"4 × GE RJ45 (1× WAN, 2× LAN, 1× FortiLink A) + RJ45 konsol",1
Konnektor 2,RJ-45,6
RAM,32 GB LPDDR5x-8400 (lehimli),1
Qidalanma,802.3af PoE və ya DC (ayrıca),1
Tip,6-xətli rəngli Gigabit biznes IP telefonu,1
Montaj,Desktop / wall / rack,4
Rəng,Arctic Grey,5
Təyinat,PS5 / PC / noutbuk,3
Rəng,Qırmızı fon üzərində qara yazı (Black on Red),1
Part Number,4P5L1AX,1
Giriş cərəyanı,1.2 A,3
Sürücü,40 mm; Hi-Res Audio; Dolby Atmos,1
VPN ötürmə,970 Mbps; max 200 eyni anda VPN tunel,1
Prosessor,1.2 GHz,2
Part number,5Y3T4EA,1
Part number,470-AFKL,1
EAN,0196188046340,1
Dərinlik,150 mm,1
Tip,Layer 3 Managed Multi-Gigabit Switch,2
IPS,2.6 Gbps,3
Part number,210-AZZB,1
Model,Alienware AW620 m,2
Model,26699-999-999,1
Brend,WiWU,1
Ölçü (E×D×H),160 × 160 × 33.2 mm,5
Yaddaş (bu konfiq),"8 × 2.5"" SAS/SATA yuvalar (EMEA2 shipping)",1
Korpus,Sürüşən,1
Kabel,Cat 6 Və yuxarı,1
Ölçülər,491.5 × 325.4 × 133.3 mm,1
Seriya,Yandex Stansiya Midi,5
Torpaqlama,Torpaq kəmərləri daxil,1
Purpose,consumer,1
Aşkarlama,"Hərəkət və insan tanıma sensoru, ani bildirişlər",1
Notebook compartment (ShhVhT),44.3 x 30 x 5.7,1
Maks. çözünürlük,3840 x 2160 pixels,3
DRAM cache,512MB,3
Model,Dell Intel Xeon Silver 4314,1
Model,Airbuds 3 SE (3rd Generation TWS),1
Material,400D suya davamlı parça,1
PoE / qidalanma,IEEE 802.3at PoE+,1
Rəng,Atmospheric Blue,5
Part number,SP-RACKTRAY-02,1
CAS Gecikməsi,CL13 (13-12-N1),1
Fiber,Multi-mode OM3/OM4,1
Part number,AC140401,1
Part nömrəsi,GS1100-24E-EU0103F,1
Çəki,3.29 kq,2
M.2,2 × M.2 2280 PCIe Gen3 x4 NVMe,1
Rəng,qırmızı,4
Genişlənmə,xarici batareya paketləri ilə runtime artırılması,1
Batareya,"VRLA, hot-swap; doldurma <4 saat (90%)",1
Part number,RZ03-05530100-R3M1,1
Keçid tutumu,40 Gbps,1
Bluetooth,Daxili Bluetooth 2.1 + EDR (Bluetooth qulaqlıqlar üçün),1
USB,Var (Hi-Speed USB 2.0),42
Model,Alienware AW420K,1
Rəng,Qara / Orange,1
Çipset,Broadcom 57416,1
Ekran,"14"" Full HD (1920×1080) IPS/UWVA, anti-glare 250 nit",1
Komplekt,AA battery 500mAh / USB wireless receiver siçanın üst qapağının altında yerləşir / Type-C cable 80 cm,1
Graphics processor,Mali 450MP2,2
Notebook compartment (ShhVhT),29x43x4.5 cm,1
Volume,0.0273 m³,1
Part number,S2P33A,2
Portlar,8 × RJ-45 10/100/1000 (port 1 Class 3 PD — PoE ilə qidalana bilər),1
Təyinat,"AAA gaming, PS5 expansion, 4K/8K, AI workstation",2
Part Number,75X30AA,1
Səs,THX Spatial 7.1.4 (Windows 11 23H2+),2
Starter,6 000 səh qara (qutuda),1
Zəmanət,1 il (qeydiyyatla 3 ilə qədər),1
Model,Lenovo ThinkVision T27hv-30,2
Color depth,16.7 mln colors,5
Seq. oxuma/yazma,1050 / 850 MB/s-ə qədər,3
Tezlik,1866 MHz (PC3-14900R),1
Tip,4-xətli Gigabit biznes IP telefonu,1
Portlar,RJ-9 qulaqlıq yuvası,6
Qulaq oturacağı,Intraaural,1
CPU,ARM Cortex-A55 4-core 1.8 GHz,1
Bluetooth,"5.2, BLE",4
Kart oxuyucu,"SD + microSD, eyni anda, ~90–104 MB/s",1
Fiş,Type F (DIN 49441 Schuko),2
USB-C3 çıxış,30 W maks,1
